,Index,Institute code,College Name,Address,Email,District,Principal Name,Office Number,Personal Number,Registrar Name
0,1,3001,"Jamnalal Bajaj Institute of Management Studies, Mumbai","Dadabhai Navroji House, 164, Backbay Reclamation, H. T. Parekh Marg, Rd No.3, Churchgate Mumbai , 400020",director@jbims.edu,Mumbai City,Dr. Kavita Laghate,22747700 Ext.- ,22024052 Ext.- ,Dr. Ajay Deshmukh
1,2,3002,"Sydenham Institute of Management Studies & Research & Entrepreneurship Education(SIMSREE), Mumbai","B-Road, Churchgate, Mumbai  400020",director@simsree.net,Mumbai City,DR.M.B.Bhide,61510701 Ext.- 700,61510700 Ext.- ,Farooque T.Peerzada
2,3,3003,"Alkesh Dinesh Modi Institute for Financial & Management Studies, Mumbai","Joravar Bhavan,opp.new boys hostel, mumbai university Kalina Vidyanagari campus,Santacruz(E.)Mumbai- 400 098",director@admi.mu.ac.in,Mumbai Suburban,Dr Smita Shukla,26521680 Ext.- ,65903680 Ext.- ,Dr Smita Shukla
3,4,3004,"Jankidevi Bajaj Institute of Management Studies, Santacruz, Mumbai","Sir Vithaldas Thackersey Vidya Vihar, Juhu Road, Santacruz(w), Mumbai 400049",jdbims@sndt.ac.in,Mumbai Suburban,Dr. Meera Shanker,26606626 Ext.- ,26606607 Ext.- ,Dr. Deepak Govind Deshpande
4,5,3005,"Government College of Pharmacy, Ratnagiri","Government Polytechnic Campus, Near Thiba Palace, Ratnagiri",bpharmratnagiri@gmail.com,Ratnagiri,Dr. Rajendra Panditrao Marathe,221201 Ext.- 02352, Ext.- ,Smt. Kumud Uday Purohit
5,6,3006,"Government Institute of Printing Technology, Mumbai","J.J School Of Architecture Compound, Near Cst Station, Mumbai 400001",gipt_m@rediffmail.com,Mumbai City,MRS. M.S.DESHPANDE,20821474 Ext.- , Ext.- ,Mrs. Maya Waghmare
6,7,3007,"Government Polytechnic, Mumbai","49, Ali Yawar Jung Marg, Kherwadi, Bandra(E), Mumbai 400051","principal@gpmumbai.ac.in,gpmumbai@gpmumbai.ac.in",Mumbai Suburban,Swati D Deshpande,26474780 Ext.- , Ext.- ,Swati D Deshpande
7,8,3008,"Government Polytechnic, Pen","At Post Ramwadi, Tal.Pen, Dist.Raigad. Raigad , 402107",governmentpolytechnicpen@rediffmail.com,Raigad,Dr. Sunil Sukhdeo Bhamre,9405691405 Ext.- ,9405691405 Ext.- ,Mrs. Sangita Chavan
8,9,3009,"Government Polytechnic, Ratnagiri","Near Thiba  Palace, Ratnagiri , 415612",office.gpratnagiri@dtemaharashtra.gov.in,Ratnagiri,SHRI. A. M. JADHAV,222435 Ext.- ,222203 Ext.- ,Shri. K. G. Narvekar
9,10,3010,"Government Polytechnic, Malvan","A/P Kumbharmath, Malvan, Sindhudurg , 416606",gpmalvan3010@gmail.com,Sindhudurg,Dr. Suresh A. Patil,252223 Ext.- ,251371 Ext.- ,Mr. B. R. Ayare
