Index,Institute code,College Name,Address
1,3001,"Jamnalal Bajaj Institute of Management Studies, Mumbai","Dadabhai Navroji House, 164, Backbay Reclamation, H. T. Parekh Marg, Rd No.3, Churchgate Mumbai , 400020"
2,3002,"Sydenham Institute of Management Studies & Research & Entrepreneurship Education(SIMSREE), Mumbai","B-Road, Churchgate, Mumbai  400020"
3,3003,"Alkesh Dinesh Modi Institute for Financial & Management Studies, Mumbai","Joravar Bhavan,opp.new boys hostel, mumbai university Kalina Vidyanagari campus,Santacruz(E.)Mumbai- 400 098"
4,3004,"Jankidevi Bajaj Institute of Management Studies, Santacruz, Mumbai","Sir Vithaldas Thackersey Vidya Vihar, Juhu Road, Santacruz(w), Mumbai 400049"
5,3005,"Government College of Pharmacy, Ratnagiri","Government Polytechnic Campus, Near Thiba Palace, Ratnagiri"
6,3006,"Government Institute of Printing Technology, Mumbai","J.J School Of Architecture Compound, Near Cst Station, Mumbai 400001"
7,3007,"Government Polytechnic, Mumbai","49, Ali Yawar Jung Marg, Kherwadi, Bandra(E), Mumbai 400051"
8,3008,"Government Polytechnic, Pen","At Post Ramwadi, Tal.Pen, Dist.Raigad. Raigad , 402107"
9,3009,"Government Polytechnic, Ratnagiri","Near Thiba  Palace, Ratnagiri , 415612"
10,3010,"Government Polytechnic, Malvan","A/P Kumbharmath, Malvan, Sindhudurg , 416606"
11,3011,"Government Polytechnic, Thane","At Phadke Pada, Opp. Bharat Gears,Mumbra Shil Road,Opp Bharat  Ltd. Thane , 400612"
12,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai","H.R. Mahajani Marg, Matunga, Mumbai "
13,3013,"Government Polytechnic, Vikramgad.","ZadPoli, Shil Road, at post Shil, Tal. Vikramgad, District Palghar"
14,3014,"Sardar Patel College of Engineering, Andheri","Munshi Nagar, Andheri (West),  Mumbai - Suburban ,Mumbai "
15,3015,"Prin. K.M. Kundnani College of Pharmacy, Mumbai","Plot No. 23, Jote Joy, Rambhau Salgaonkar Marg, Cuffe Parade Mumbai"
16,3016,"Bombay College of Pharmacy, Santacruz(E), Mumbai","Kalina, Santacruz (E), Mumbai "
17,3017,"C U Shah College of Pharmacy for Women, Mumbai","Sir Vithaldas Vidyavihar,(SNDT Women Uni)Juhu Road, Santacruz(w) Mumbai"
18,3018,"Rachna Sansad Academy Of Architecture,Mumbai","278, Shankar Ghanekar Marg, Behind Ravindra Natya Mandir, Prabhadevi,Mumbai"
19,3019,"Sir J. J. College of Architecture, Mumbai","78 / 3, Dr. D.N. Road, Fort, Mumbai"
20,3020,"Sasmira's Institute of Manmade Textiles, Mumbai","Dr. A.B. Road, Sasmira Marg, Worli, Mumbai. 400030"
21,3021,"K. J. Somaiya Polytechnic, Mumbai","Vidyanagar, Mumbai , 400077"
